2004-09-01 12:00,26.7,3.8,290,2
2004-09-02 12:00,26.7,3.0,320,0
2004-09-03 12:00,26.8,0.9,270,7
2004-09-04 12:00,28.0,1.5,110,4
2004-09-05 12:00,29.2,2.5,50,5
2004-09-06 12:00,26.5,2.1,90,0
2004-09-07 12:00,19.3,5.1,50,10
2004-09-08 12:00,24.7,3.1,250,3
2004-09-09 12:00,26.2,2.6,230,2
2004-09-10 12:00,25.7,3.7,70,7
2004-09-11 12:00,17.6,6.4,70,10
2004-09-12 12:00,22.1,3.3,70,10
2004-09-13 12:00,22.2,4.2,290,7
2004-09-14 12:00,26.0,3.5,70,7
2004-09-15 12:00,27.3,2.3,90,6
2004-09-16 12:00,24.1,1.1,70,9
2004-09-17 12:00,26.8,2.2,200,4
2004-09-18 12:00,22.1,2.9,270,10
2004-09-19 12:00,23.5,3.3,290,4
2004-09-20 12:00,17.0,2.1,50,10
2004-09-21 12:00,20.1,2.0,200,5
2004-09-22 12:00,21.8,2.2,50,1
2004-09-23 12:00,22.8,0.7,110,9
2004-09-24 12:00,24.3,0.9,290,1
2004-09-25 12:00,24.6,2.8,50,6
2004-09-26 12:00,21.3,2.7,70,8
2004-09-27 12:00,24.2,0.9,90,3
2004-09-28 12:00,24.0,2.1,70,7
2004-09-29 12:00,25.5,2.0,90,0
2004-09-30 12:00,25.2,1.9,110,3
